operation   immediate     rs1     funct3     rd     opcode
addi      000000000000   00000      000     00000   0010011
slti      000000000000   00000      010     00000   0010011
sltiu     000000000000   00000      011     00000   0010011
andi      000000000000   00000      111     00000   0010011
ori       000000000000   00000      110     00000   0010011
xori      000000000000   00000      100     00000   0010011
slli      000000000000   00000      001     00000   0010011
srli      000000000000   00000      101     00000   0010011
srai      010000000000   00000      101     00000   0010011
ld        000000000000   00000      011     00000   0000011
lw        000000000000   00000      010     00000   0000011
lb        000000000000   00000      000     00000   0000011
jalr      000000000000   00000      000     00000   1100111
